Loaded sprite sheet: ../game/assets/sprites/Arcade - Galaga - Miscellaneous - General Sprites.png
Dimensions: 458x216
Extracting sprites...

Found 202 sprites:

Index | X    | Y    | Width | Height
128   | 343  | 136  | 16    | 16    
129   | 361  | 136  | 32    | 16    
130   | 395  | 136  | 32    | 16    
131   | 1    | 145  | 16    | 16    
132   | 19   | 145  | 16    | 16    
133   | 37   | 145  | 16    | 16    
134   | 55   | 145  | 16    | 16    
135   | 73   | 145  | 16    | 16    
136   | 91   | 145  | 16    | 16    
137   | 109  | 145  | 16    | 16    
138   | 145  | 145  | 16    | 16    
139   | 163  | 145  | 16    | 16    
140   | 181  | 145  | 16    | 16    
141   | 199  | 145  | 16    | 16    
142   | 217  | 145  | 16    | 16    
143   | 235  | 145  | 16    | 16    
144   | 253  | 145  | 16    | 16    
145   | 342  | 153  | 91    | 18    
146   | 289  | 154  | 16    | 16    
147   | 307  | 154  | 16    | 16    
148   | 325  | 154  | 16    | 16    
149   | 1    | 163  | 16    | 16    
150   | 19   | 163  | 16    | 16    
151   | 37   | 163  | 16    | 16    
152   | 55   | 163  | 16    | 16    
153   | 73   | 163  | 16    | 16    
154   | 91   | 163  | 16    | 16    
155   | 109  | 163  | 16    | 16    
156   | 145  | 163  | 16    | 16    
157   | 163  | 163  | 16    | 16    
158   | 181  | 163  | 16    | 16    
159   | 199  | 163  | 16    | 16    
160   | 217  | 163  | 16    | 16    
161   | 235  | 163  | 16    | 16    
162   | 253  | 163  | 16    | 16    
163   | 289  | 172  | 16    | 16    
164   | 307  | 172  | 8     | 16    
165   | 317  | 172  | 8     | 16    
166   | 327  | 172  | 16    | 16    
167   | 345  | 172  | 16    | 16    
168   | 363  | 172  | 16    | 16    
169   | 381  | 172  | 16    | 16    
170   | 1    | 181  | 16    | 16    
171   | 19   | 181  | 16    | 16    
172   | 37   | 181  | 16    | 16    
173   | 55   | 181  | 16    | 16    
174   | 73   | 181  | 16    | 16    
175   | 91   | 181  | 16    | 16    
176   | 145  | 181  | 16    | 16    
177   | 163  | 181  | 16    | 16    
178   | 181  | 181  | 16    | 16    
179   | 199  | 181  | 16    | 16    
180   | 217  | 181  | 16    | 16    
181   | 235  | 181  | 16    | 16    
182   | 289  | 192  | 4     | 8     
183   | 352  | 192  | 5     | 4     
184   | 298  | 194  | 4     | 8     
185   | 304  | 194  | 4     | 8     
186   | 1    | 199  | 16    | 16    
187   | 19   | 199  | 16    | 16    
188   | 37   | 199  | 16    | 16    
189   | 55   | 199  | 16    | 16    
190   | 73   | 199  | 16    | 16    
191   | 91   | 199  | 16    | 16    
192   | 109  | 199  | 16    | 16    
193   | 145  | 199  | 16    | 16    
194   | 163  | 199  | 16    | 16    
195   | 181  | 199  | 16    | 16    
196   | 199  | 199  | 16    | 16    
197   | 217  | 199  | 16    | 16    
198   | 235  | 199  | 16    | 16    
199   | 307  | 207  | 4     | 6     
200   | 372  | 207  | 4     | 6     
201   | 406  | 207  | 3     | 6     

// C array format:
sprite_rect_t sprites[] = {
  {1, 1, 16, 16},  // Sprite 0
  {19, 1, 16, 16},  // Sprite 1
  {37, 1, 16, 16},  // Sprite 2
  {55, 1, 16, 16},  // Sprite 3
  {73, 1, 16, 16},  // Sprite 4
  {91, 1, 16, 16},  // Sprite 5
  {109, 1, 16, 16},  // Sprite 6
  {145, 1, 32, 32},  // Sprite 7
  {179, 1, 32, 32},  // Sprite 8
  {213, 1, 32, 32},  // Sprite 9
  {247, 1, 32, 32},  // Sprite 10
  {289, 1, 32, 32},  // Sprite 11
  {323, 1, 32, 32},  // Sprite 12
  {357, 1, 32, 32},  // Sprite 13
  {391, 1, 32, 32},  // Sprite 14
  {425, 1, 32, 32},  // Sprite 15
  {1, 19, 16, 16},  // Sprite 16
  {19, 19, 16, 16},  // Sprite 17
  {37, 19, 16, 16},  // Sprite 18
  {55, 19, 16, 16},  // Sprite 19
  {73, 19, 16, 16},  // Sprite 20
  {91, 19, 16, 16},  // Sprite 21
  {109, 19, 16, 16},  // Sprite 22
  {289, 36, 48, 80},  // Sprite 23
  {339, 36, 48, 80},  // Sprite 24
  {389, 36, 48, 80},  // Sprite 25
  {1, 37, 16, 16},  // Sprite 26
  {19, 37, 16, 16},  // Sprite 27
  {37, 37, 16, 16},  // Sprite 28
  {55, 37, 16, 16},  // Sprite 29
  {73, 37, 16, 16},  // Sprite 30
  {91, 37, 16, 16},  // Sprite 31
  {109, 37, 16, 16},  // Sprite 32
  {127, 37, 16, 16},  // Sprite 33
  {145, 37, 16, 16},  // Sprite 34
  {163, 37, 16, 16},  // Sprite 35
  {181, 37, 16, 16},  // Sprite 36
  {199, 37, 16, 16},  // Sprite 37
  {217, 37, 16, 16},  // Sprite 38
  {235, 37, 16, 16},  // Sprite 39
  {253, 37, 16, 16},  // Sprite 40
  {271, 37, 16, 16},  // Sprite 41
  {1, 55, 16, 16},  // Sprite 42
  {19, 55, 16, 16},  // Sprite 43
  {37, 55, 16, 16},  // Sprite 44
  {55, 55, 16, 16},  // Sprite 45
  {73, 55, 16, 16},  // Sprite 46
  {91, 55, 16, 16},  // Sprite 47
  {109, 55, 16, 16},  // Sprite 48
  {127, 55, 16, 16},  // Sprite 49
  {145, 55, 16, 16},  // Sprite 50
  {163, 55, 16, 16},  // Sprite 51
  {181, 55, 16, 16},  // Sprite 52
  {199, 55, 16, 16},  // Sprite 53
  {217, 55, 16, 16},  // Sprite 54
  {235, 55, 16, 16},  // Sprite 55
  {253, 55, 16, 16},  // Sprite 56
  {271, 55, 16, 16},  // Sprite 57
  {1, 73, 16, 16},  // Sprite 58
  {19, 73, 16, 16},  // Sprite 59
  {37, 73, 16, 16},  // Sprite 60
  {55, 73, 16, 16},  // Sprite 61
  {73, 73, 16, 16},  // Sprite 62
  {91, 73, 16, 16},  // Sprite 63
  {109, 73, 16, 16},  // Sprite 64
  {127, 73, 16, 16},  // Sprite 65
  {145, 73, 16, 16},  // Sprite 66
  {163, 73, 16, 16},  // Sprite 67
  {181, 73, 16, 16},  // Sprite 68
  {199, 73, 16, 16},  // Sprite 69
  {217, 73, 16, 16},  // Sprite 70
  {235, 73, 16, 16},  // Sprite 71
  {253, 73, 16, 16},  // Sprite 72
  {271, 73, 16, 16},  // Sprite 73
  {1, 91, 16, 16},  // Sprite 74
  {19, 91, 16, 16},  // Sprite 75
  {37, 91, 16, 16},  // Sprite 76
  {55, 91, 16, 16},  // Sprite 77
  {73, 91, 16, 16},  // Sprite 78
  {91, 91, 16, 16},  // Sprite 79
  {109, 91, 16, 16},  // Sprite 80
  {127, 91, 16, 16},  // Sprite 81
  {145, 91, 16, 16},  // Sprite 82
  {163, 91, 16, 16},  // Sprite 83
  {181, 91, 16, 16},  // Sprite 84
  {199, 91, 16, 16},  // Sprite 85
  {217, 91, 16, 16},  // Sprite 86
  {235, 91, 16, 16},  // Sprite 87
  {253, 91, 16, 16},  // Sprite 88
  {1, 109, 16, 16},  // Sprite 89
  {19, 109, 16, 16},  // Sprite 90
  {37, 109, 16, 16},  // Sprite 91
  {55, 109, 16, 16},  // Sprite 92
  {73, 109, 16, 16},  // Sprite 93
  {91, 109, 16, 16},  // Sprite 94
  {109, 109, 16, 16},  // Sprite 95
  {145, 109, 16, 16},  // Sprite 96
  {163, 109, 16, 16},  // Sprite 97
  {181, 109, 16, 16},  // Sprite 98
  {199, 109, 16, 16},  // Sprite 99
  {217, 109, 16, 16},  // Sprite 100
  {235, 109, 16, 16},  // Sprite 101
  {253, 109, 16, 16},  // Sprite 102
  {289, 118, 16, 16},  // Sprite 103
  {307, 118, 16, 16},  // Sprite 104
  {325, 118, 16, 16},  // Sprite 105
  {343, 118, 16, 16},  // Sprite 106
  {361, 118, 16, 16},  // Sprite 107
  {379, 118, 16, 16},  // Sprite 108
  {397, 118, 16, 16},  // Sprite 109
  {415, 118, 16, 16},  // Sprite 110
  {1, 127, 16, 16},  // Sprite 111
  {19, 127, 16, 16},  // Sprite 112
  {37, 127, 16, 16},  // Sprite 113
  {55, 127, 16, 16},  // Sprite 114
  {73, 127, 16, 16},  // Sprite 115
  {91, 127, 16, 16},  // Sprite 116
  {109, 127, 16, 16},  // Sprite 117
  {145, 127, 16, 16},  // Sprite 118
  {163, 127, 16, 16},  // Sprite 119
  {181, 127, 16, 16},  // Sprite 120
  {199, 127, 16, 16},  // Sprite 121
  {217, 127, 16, 16},  // Sprite 122
  {235, 127, 16, 16},  // Sprite 123
  {253, 127, 16, 16},  // Sprite 124
  {289, 136, 16, 16},  // Sprite 125
  {307, 136, 16, 16},  // Sprite 126
  {325, 136, 16, 16},  // Sprite 127
  {343, 136, 16, 16},  // Sprite 128
  {361, 136, 32, 16},  // Sprite 129
  {395, 136, 32, 16},  // Sprite 130
  {1, 145, 16, 16},  // Sprite 131
  {19, 145, 16, 16},  // Sprite 132
  {37, 145, 16, 16},  // Sprite 133
  {55, 145, 16, 16},  // Sprite 134
  {73, 145, 16, 16},  // Sprite 135
  {91, 145, 16, 16},  // Sprite 136
  {109, 145, 16, 16},  // Sprite 137
  {145, 145, 16, 16},  // Sprite 138
  {163, 145, 16, 16},  // Sprite 139
  {181, 145, 16, 16},  // Sprite 140
  {199, 145, 16, 16},  // Sprite 141
  {217, 145, 16, 16},  // Sprite 142
  {235, 145, 16, 16},  // Sprite 143
  {253, 145, 16, 16},  // Sprite 144
  {342, 153, 91, 18},  // Sprite 145
  {289, 154, 16, 16},  // Sprite 146
  {307, 154, 16, 16},  // Sprite 147
  {325, 154, 16, 16},  // Sprite 148
  {1, 163, 16, 16},  // Sprite 149
  {19, 163, 16, 16},  // Sprite 150
  {37, 163, 16, 16},  // Sprite 151
  {55, 163, 16, 16},  // Sprite 152
  {73, 163, 16, 16},  // Sprite 153
  {91, 163, 16, 16},  // Sprite 154
  {109, 163, 16, 16},  // Sprite 155
  {145, 163, 16, 16},  // Sprite 156
  {163, 163, 16, 16},  // Sprite 157
  {181, 163, 16, 16},  // Sprite 158
  {199, 163, 16, 16},  // Sprite 159
  {217, 163, 16, 16},  // Sprite 160
  {235, 163, 16, 16},  // Sprite 161
  {253, 163, 16, 16},  // Sprite 162
  {289, 172, 16, 16},  // Sprite 163
  {307, 172, 8, 16},  // Sprite 164
  {317, 172, 8, 16},  // Sprite 165
  {327, 172, 16, 16},  // Sprite 166
  {345, 172, 16, 16},  // Sprite 167
  {363, 172, 16, 16},  // Sprite 168
  {381, 172, 16, 16},  // Sprite 169
  {1, 181, 16, 16},  // Sprite 170
  {19, 181, 16, 16},  // Sprite 171
  {37, 181, 16, 16},  // Sprite 172
  {55, 181, 16, 16},  // Sprite 173
  {73, 181, 16, 16},  // Sprite 174
  {91, 181, 16, 16},  // Sprite 175
  {145, 181, 16, 16},  // Sprite 176
  {163, 181, 16, 16},  // Sprite 177
  {181, 181, 16, 16},  // Sprite 178
  {199, 181, 16, 16},  // Sprite 179
  {217, 181, 16, 16},  // Sprite 180
  {235, 181, 16, 16},  // Sprite 181
  {289, 192, 4, 8},  // Sprite 182
  {352, 192, 5, 4},  // Sprite 183
  {298, 194, 4, 8},  // Sprite 184
  {304, 194, 4, 8},  // Sprite 185
  {1, 199, 16, 16},  // Sprite 186
  {19, 199, 16, 16},  // Sprite 187
  {37, 199, 16, 16},  // Sprite 188
  {55, 199, 16, 16},  // Sprite 189
  {73, 199, 16, 16},  // Sprite 190
  {91, 199, 16, 16},  // Sprite 191
  {109, 199, 16, 16},  // Sprite 192
  {145, 199, 16, 16},  // Sprite 193
  {163, 199, 16, 16},  // Sprite 194
  {181, 199, 16, 16},  // Sprite 195
  {199, 199, 16, 16},  // Sprite 196
  {217, 199, 16, 16},  // Sprite 197
  {235, 199, 16, 16},  // Sprite 198
  {307, 207, 4, 6},  // Sprite 199
  {372, 207, 4, 6},  // Sprite 200
  {406, 207, 3, 6}   // Sprite 201
};
